Datum von;Datum bis;Gesamt [MWh] Originalauflösungen;Photovoltaik und Wind [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige [MWh] Originalauflösungen
17.11.2015 10:00;17.11.2015 11:00;88.349,00;19.374,50;2.647,25;14.960,25;1.767,00;68.974,50
17.11.2015 11:00;17.11.2015 12:00;90.025,00;20.947,25;2.628,75;15.988,50;2.330,00;69.077,75
17.11.2015 12:00;17.11.2015 13:00;89.753,00;21.533,50;2.250,25;16.849,25;2.434,00;68.219,50
17.11.2015 13:00;17.11.2015 14:00;88.850,00;21.459,75;2.264,25;17.141,25;2.054,25;67.390,25
17.11.2015 14:00;17.11.2015 15:00;87.043,00;20.865,25;2.339,75;17.219,25;1.306,25;66.177,75
17.11.2015 15:00;17.11.2015 16:00;85.598,00;20.272,75;2.395,75;17.367,25;509,75;65.325,25
17.11.2015 16:00;17.11.2015 17:00;87.022,00;20.317,75;2.407,00;17.834,75;76,00;66.704,25
17.11.2015 17:00;17.11.2015 18:00;89.336,00;21.314,75;2.434,25;18.872,25;8,25;68.021,25
17.11.2015 18:00;17.11.2015 19:00;90.052,00;22.561,50;2.494,25;20.059,25;8,00;67.490,50
17.11.2015 19:00;17.11.2015 20:00;89.371,00;23.666,75;2.599,00;21.067,75;0,00;65.704,25
17.11.2015 20:00;17.11.2015 21:00;85.757,00;24.878,75;2.735,25;22.143,50;0,00;60.878,25
17.11.2015 21:00;17.11.2015 22:00;81.080,00;26.302,75;2.806,75;23.496,00;0,00;54.777,25
17.11.2015 22:00;17.11.2015 23:00;78.410,00;28.140,25;2.799,75;25.340,50;0,00;50.269,75
17.11.2015 23:00;18.11.2015 00:00;75.120,00;30.372,00;2.739,25;27.632,75;0,00;44.748,00
18.11.2015 00:00;18.11.2015 01:00;76.608,00;34.985,00;2.788,25;32.196,75;0,00;41.623,00
18.11.2015 01:00;18.11.2015 02:00;74.115,00;39.925,50;2.864,50;37.061,00;0,00;34.189,50
18.11.2015 02:00;18.11.2015 03:00;72.984,00;40.170,25;2.885,50;37.284,75;0,00;32.813,75
18.11.2015 03:00;18.11.2015 04:00;73.422,00;40.198,50;2.902,75;37.295,75;0,00;33.223,50
18.11.2015 04:00;18.11.2015 05:00;75.420,00;39.705,75;2.583,75;37.122,00;0,00;35.714,25
18.11.2015 05:00;18.11.2015 06:00;79.340,00;39.578,25;2.682,75;36.895,50;0,00;39.761,75
18.11.2015 06:00;18.11.2015 07:00;84.404,00;39.384,50;2.764,75;36.619,25;0,50;45.019,50
18.11.2015 07:00;18.11.2015 08:00;89.187,00;39.226,25;2.813,25;36.322,00;91,00;49.960,75
18.11.2015 08:00;18.11.2015 09:00;92.139,00;39.912,50;2.844,50;35.935,75;1.132,25;52.226,50
18.11.2015 09:00;18.11.2015 10:00;94.167,00;41.239,75;2.859,25;35.395,75;2.984,75;52.927,25
18.11.2015 10:00;18.11.2015 11:00;95.092,00;42.498,75;2.869,00;34.812,50;4.817,25;52.593,25
18.11.2015 11:00;18.11.2015 12:00;95.537,00;43.281,50;2.877,25;34.283,75;6.120,50;52.255,50
18.11.2015 12:00;18.11.2015 13:00;95.129,00;43.087,25;2.803,00;33.527,25;6.757,00;52.041,75
18.11.2015 13:00;18.11.2015 14:00;92.775,00;41.031,00;2.822,25;32.033,50;6.175,25;51.744,00
18.11.2015 14:00;18.11.2015 15:00;89.685,00;36.985,75;2.840,50;29.797,75;4.347,50;52.699,25
18.11.2015 15:00;18.11.2015 16:00;86.962,00;31.921,50;2.861,75;27.202,50;1.857,25;55.040,50
18.11.2015 16:00;18.11.2015 17:00;86.135,00;27.879,75;2.717,00;24.911,25;251,50;58.255,25
18.11.2015 17:00;18.11.2015 18:00;88.421,00;26.800,00;2.753,50;24.038,25;8,25;61.621,00
18.11.2015 18:00;18.11.2015 19:00;88.114,00;27.152,75;2.764,00;24.380,75;8,00;60.961,25
18.11.2015 19:00;18.11.2015 20:00;87.661,00;28.563,00;2.767,00;25.796,00;0,00;59.098,00
18.11.2015 20:00;18.11.2015 21:00;84.465,00;30.551,25;2.791,00;27.760,25;0,00;53.913,75
18.11.2015 21:00;18.11.2015 22:00;81.207,00;32.389,75;2.765,25;29.624,50;0,00;48.817,25
18.11.2015 22:00;18.11.2015 23:00;79.539,00;34.139,50;2.760,50;31.379,00;0,00;45.399,50
18.11.2015 23:00;19.11.2015 00:00;77.647,00;35.411,75;2.805,00;32.606,75;0,00;42.235,25
19.11.2015 00:00;19.11.2015 01:00;75.039,00;36.739,50;2.840,75;33.898,75;0,00;38.299,50
19.11.2015 01:00;19.11.2015 02:00;72.605,00;36.879,25;2.862,00;34.017,25;0,00;35.725,75
19.11.2015 02:00;19.11.2015 03:00;71.901,00;36.876,25;2.867,50;34.008,75;0,00;35.024,75
19.11.2015 03:00;19.11.2015 04:00;71.916,00;36.806,75;2.857,75;33.949,00;0,00;35.109,25
19.11.2015 04:00;19.11.2015 05:00;73.856,00;36.501,50;2.696,50;33.805,00;0,00;37.354,50
19.11.2015 05:00;19.11.2015 06:00;77.366,00;36.590,00;2.692,75;33.897,25;0,00;40.776,00
19.11.2015 06:00;19.11.2015 07:00;83.474,00;36.578,00;2.674,75;33.903,00;0,25;46.896,00
19.11.2015 07:00;19.11.2015 08:00;88.116,00;36.757,50;2.679,75;33.999,00;78,75;51.358,50
19.11.2015 08:00;19.11.2015 09:00;91.491,00;37.978,25;2.769,50;34.105,25;1.103,50;53.512,75
19.11.2015 09:00;19.11.2015 10:00;93.382,00;40.134,00;2.856,00;34.259,75;3.018,25;53.248,00
19.11.2015 10:00;19.11.2015 11:00;95.720,00;42.106,75;2.896,00;34.423,50;4.787,25;53.613,25
19.11.2015 11:00;19.11.2015 12:00;96.109,00;42.963,00;2.897,50;34.408,25;5.657,25;53.146,00
19.11.2015 12:00;19.11.2015 13:00;95.474,00;41.976,75;2.452,50;34.251,00;5.273,25;53.497,25
19.11.2015 13:00;19.11.2015 14:00;92.918,00;40.219,25;2.561,50;33.648,50;4.009,25;52.698,75
19.11.2015 14:00;19.11.2015 15:00;89.811,00;37.684,75;2.619,25;32.672,50;2.393,00;52.126,25
19.11.2015 15:00;19.11.2015 16:00;87.767,00;34.858,00;2.783,00;31.174,00;901,00;52.909,00
19.11.2015 16:00;19.11.2015 17:00;86.965,00;32.463,75;2.820,00;29.534,00;109,75;54.501,25
19.11.2015 17:00;19.11.2015 18:00;89.356,00;31.167,50;2.843,25;28.316,25;8,00;58.188,50
19.11.2015 18:00;19.11.2015 19:00;88.801,00;30.255,00;2.858,00;27.389,00;8,00;58.546,00
19.11.2015 19:00;19.11.2015 20:00;87.099,00;29.014,75;2.866,50;26.148,25;0,00;58.084,25
19.11.2015 20:00;19.11.2015 21:00;82.767,00;27.455,25;2.870,75;24.584,50;0,00;55.311,75
19.11.2015 21:00;19.11.2015 22:00;79.546,00;25.881,75;2.871,00;23.010,75;0,00;53.664,25
19.11.2015 22:00;19.11.2015 23:00;74.929,00;24.804,75;2.874,00;21.930,75;0,00;50.124,25
19.11.2015 23:00;20.11.2015 00:00;72.231,00;24.088,75;2.818,50;21.270,25;0,00;48.142,25
20.11.2015 00:00;20.11.2015 01:00;70.366,00;22.751,25;2.708,25;20.043,00;0,00;47.614,75
20.11.2015 01:00;20.11.2015 02:00;68.086,00;22.970,25;2.680,75;20.289,50;0,00;45.115,75
20.11.2015 02:00;20.11.2015 03:00;67.575,00;23.026,75;2.666,75;20.360,00;0,00;44.548,25
20.11.2015 03:00;20.11.2015 04:00;67.455,00;22.940,50;2.651,75;20.288,75;0,00;44.514,50
20.11.2015 04:00;20.11.2015 05:00;68.857,00;22.616,00;2.644,25;19.971,75;0,00;46.241,00
20.11.2015 05:00;20.11.2015 06:00;70.614,00;22.101,25;2.629,25;19.472,00;0,00;48.512,75
20.11.2015 06:00;20.11.2015 07:00;77.603,00;21.379,75;2.528,25;18.851,50;0,00;56.223,25
20.11.2015 07:00;20.11.2015 08:00;83.998,00;20.576,25;2.292,75;18.253,75;29,75;63.421,75
20.11.2015 08:00;20.11.2015 09:00;85.970,00;19.977,75;2.166,50;17.351,75;459,50;65.992,25
20.11.2015 09:00;20.11.2015 10:00;87.542,00;19.937,50;2.028,25;16.492,50;1.416,75;67.604,50
20.11.2015 10:00;20.11.2015 11:00;88.261,00;20.137,50;1.886,25;15.896,25;2.355,00;68.123,50
20.11.2015 11:00;20.11.2015 12:00;89.730,00;19.962,75;1.721,75;15.402,00;2.839,00;69.767,25
20.11.2015 12:00;20.11.2015 13:00;88.694,00;19.089,00;1.610,75;14.786,00;2.692,25;69.605,00
20.11.2015 13:00;20.11.2015 14:00;86.760,00;17.273,50;1.278,75;13.889,75;2.105,00;69.486,50
20.11.2015 14:00;20.11.2015 15:00;83.622,00;15.079,50;1.176,00;12.645,75;1.257,75;68.542,50
20.11.2015 15:00;20.11.2015 16:00;81.548,00;12.996,00;1.039,25;11.515,50;441,25;68.552,00
20.11.2015 16:00;20.11.2015 17:00;81.844,00;11.668,75;854,75;10.768,25;45,75;70.175,25
20.11.2015 17:00;20.11.2015 18:00;84.409,00;11.485,75;803,50;10.674,25;8,00;72.923,25
20.11.2015 18:00;20.11.2015 19:00;85.342,00;11.718,75;775,50;10.935,25;8,00;73.623,25
20.11.2015 19:00;20.11.2015 20:00;84.532,00;11.971,25;732,50;11.238,75;0,00;72.560,75
20.11.2015 20:00;20.11.2015 21:00;80.996,00;12.174,50;706,25;11.468,25;0,00;68.821,50
20.11.2015 21:00;20.11.2015 22:00;76.894,00;11.959,75;677,50;11.282,25;0,00;64.934,25
20.11.2015 22:00;20.11.2015 23:00;74.052,00;12.074,75;674,50;11.400,25;0,00;61.977,25
20.11.2015 23:00;21.11.2015 00:00;69.595,00;12.021,75;771,75;11.250,00;0,00;57.573,25
21.11.2015 00:00;21.11.2015 01:00;66.267,00;11.900,25;834,00;11.066,25;0,00;54.366,75
21.11.2015 01:00;21.11.2015 02:00;63.452,00;11.743,75;901,75;10.842,00;0,00;51.708,25
21.11.2015 02:00;21.11.2015 03:00;61.422,00;11.758,00;980,50;10.777,50;0,00;49.664,00
21.11.2015 03:00;21.11.2015 04:00;60.489,00;11.705,75;1.044,25;10.661,50;0,00;48.783,25
21.11.2015 04:00;21.11.2015 05:00;60.612,00;11.527,25;1.144,50;10.382,75;0,00;49.084,75
21.11.2015 05:00;21.11.2015 06:00;61.949,00;11.578,75;1.307,00;10.271,75;0,00;50.370,25
21.11.2015 06:00;21.11.2015 07:00;64.587,00;11.652,75;1.565,75;10.087,00;0,00;52.934,25
21.11.2015 07:00;21.11.2015 08:00;66.632,00;11.783,75;1.816,50;9.907,75;59,50;54.848,25
21.11.2015 08:00;21.11.2015 09:00;70.966,00;12.980,00;2.127,00;9.812,00;1.041,00;57.986,00
21.11.2015 09:00;21.11.2015 10:00;75.904,00;15.150,25;2.400,00;9.730,00;3.020,25;60.753,75
21.11.2015 10:00;21.11.2015 11:00;78.296,00;16.712,75;2.436,50;9.476,00;4.800,25;61.583,25
21.11.2015 11:00;21.11.2015 12:00;80.003,00;17.363,75;2.353,75;9.204,75;5.805,25;62.639,25
21.11.2015 12:00;21.11.2015 13:00;79.315,00;16.683,50;2.305,50;8.692,00;5.686,00;62.631,50
21.11.2015 13:00;21.11.2015 14:00;77.175,00;14.954,00;2.275,75;8.042,50;4.635,75;62.221,00
21.11.2015 14:00;21.11.2015 15:00;73.117,00;12.864,00;2.282,25;7.650,25;2.931,50;60.253,00
21.11.2015 15:00;21.11.2015 16:00;70.737,00;10.953,50;2.252,00;7.473,00;1.228,50;59.783,50
21.11.2015 16:00;21.11.2015 17:00;71.415,00;9.976,75;2.203,50;7.593,00;180,25;61.438,25
21.11.2015 17:00;21.11.2015 18:00;75.046,00;10.165,75;2.130,50;8.027,25;8,00;64.880,25
21.11.2015 18:00;21.11.2015 19:00;76.981,00;10.480,25;2.085,50;8.386,75;8,00;66.500,75
21.11.2015 19:00;21.11.2015 20:00;77.605,00;10.976,25;2.025,25;8.951,00;0,00;66.628,75
21.11.2015 20:00;21.11.2015 21:00;71.911,00;11.280,75;1.918,75;9.362,00;0,00;60.630,25
21.11.2015 21:00;21.11.2015 22:00;68.319,00;11.396,75;1.787,75;9.609,00;0,00;56.922,25
21.11.2015 22:00;21.11.2015 23:00;67.052,00;11.724,75;1.748,75;9.976,00;0,00;55.327,25
21.11.2015 23:00;22.11.2015 00:00;66.527,00;12.215,75;1.894,25;10.321,50;0,00;54.311,25
22.11.2015 00:00;22.11.2015 01:00;61.335,00;11.623,75;1.921,00;9.702,75;0,00;49.711,25
22.11.2015 01:00;22.11.2015 02:00;60.341,00;11.018,00;2.037,00;8.981,00;0,00;49.323,00
22.11.2015 02:00;22.11.2015 03:00;58.823,00;11.548,25;2.115,75;9.432,50;0,00;47.274,75
22.11.2015 03:00;22.11.2015 04:00;58.781,00;11.991,75;2.123,00;9.868,75;0,00;46.789,25
22.11.2015 04:00;22.11.2015 05:00;58.924,00;12.463,25;2.284,25;10.179,00;0,00;46.460,75
22.11.2015 05:00;22.11.2015 06:00;59.682,00;12.670,25;2.262,00;10.408,25;0,00;47.011,75
22.11.2015 06:00;22.11.2015 07:00;59.793,00;12.793,75;2.234,75;10.559,00;0,00;46.999,25
22.11.2015 07:00;22.11.2015 08:00;62.135,00;13.113,75;2.313,50;10.762,25;38,00;49.021,25
22.11.2015 08:00;22.11.2015 09:00;64.523,00;14.364,25;2.399,75;11.035,25;929,25;50.158,75
22.11.2015 09:00;22.11.2015 10:00;69.948,00;17.144,25;2.455,25;11.586,00;3.103,00;52.803,75
22.11.2015 10:00;22.11.2015 11:00;74.736,00;20.203,75;2.463,00;12.557,00;5.183,75;54.532,25
22.11.2015 11:00;22.11.2015 12:00;78.281,00;22.636,00;2.471,00;13.694,75;6.470,25;55.645,00
22.11.2015 12:00;22.11.2015 13:00;78.518,00;23.863,25;2.340,00;14.769,25;6.754,00;54.654,75
22.11.2015 13:00;22.11.2015 14:00;77.178,00;23.670,25;2.377,50;15.453,00;5.839,75;53.507,75
22.11.2015 14:00;22.11.2015 15:00;73.375,00;22.095,00;2.448,00;15.642,75;4.004,25;51.280,00
22.11.2015 15:00;22.11.2015 16:00;70.248,00;19.930,50;2.451,50;15.843,50;1.635,50;50.317,50
22.11.2015 16:00;22.11.2015 17:00;71.355,00;18.816,25;2.517,50;16.113,00;185,75;52.538,75
22.11.2015 17:00;22.11.2015 18:00;74.280,00;18.713,25;2.594,50;16.110,50;8,25;55.566,75
22.11.2015 18:00;22.11.2015 19:00;75.725,00;18.776,75;2.653,00;16.115,75;8,00;56.948,25
22.11.2015 19:00;22.11.2015 20:00;74.965,00;18.383,25;2.658,25;15.725,00;0,00;56.581,75
22.11.2015 20:00;22.11.2015 21:00;73.433,00;17.562,25;2.636,50;14.925,75;0,00;55.870,75
22.11.2015 21:00;22.11.2015 22:00;71.387,00;16.673,75;2.603,25;14.070,50;0,00;54.713,25
22.11.2015 22:00;22.11.2015 23:00;71.082,00;15.719,50;2.502,75;13.216,75;0,00;55.362,50
22.11.2015 23:00;23.11.2015 00:00;67.614,00;14.482,75;2.230,75;12.252,00;0,00;53.131,25
23.11.2015 00:00;23.11.2015 01:00;64.303,00;12.626,50;1.839,75;10.786,75;0,00;51.676,50
23.11.2015 01:00;23.11.2015 02:00;62.285,00;10.723,75;1.569,25;9.154,50;0,00;51.561,25
23.11.2015 02:00;23.11.2015 03:00;61.202,00;9.767,25;1.351,00;8.416,25;0,00;51.434,75
23.11.2015 03:00;23.11.2015 04:00;62.031,00;8.914,75;1.140,50;7.774,25;0,00;53.116,25
23.11.2015 04:00;23.11.2015 05:00;63.448,00;7.924,50;907,25;7.017,25;0,00;55.523,50
23.11.2015 05:00;23.11.2015 06:00;66.128,00;6.808,00;630,75;6.177,25;0,00;59.320,00
23.11.2015 06:00;23.11.2015 07:00;73.745,00;5.787,50;460,25;5.327,25;0,00;67.957,50
23.11.2015 07:00;23.11.2015 08:00;80.447,00;4.836,50;334,50;4.473,25;28,75;75.610,50
23.11.2015 08:00;23.11.2015 09:00;85.320,00;4.702,50;262,25;3.736,25;704,00;80.617,50
23.11.2015 09:00;23.11.2015 10:00;88.056,00;6.424,00;214,50;3.077,50;3.132,00;81.632,00
23.11.2015 10:00;23.11.2015 11:00;89.839,00;8.696,00;206,25;2.615,00;5.874,75;81.143,00
23.11.2015 11:00;23.11.2015 12:00;91.419,00;10.366,75;264,00;2.424,50;7.678,25;81.052,25
23.11.2015 12:00;23.11.2015 13:00;91.651,00;11.128,00;472,25;2.486,50;8.169,25;80.523,00
23.11.2015 13:00;23.11.2015 14:00;89.876,00;10.534,25;690,75;2.625,75;7.217,75;79.341,75
23.11.2015 14:00;23.11.2015 15:00;86.787,00;8.832,25;964,00;2.927,25;4.941,00;77.954,75
23.11.2015 15:00;23.11.2015 16:00;83.400,00;6.893,50;1.389,75;3.451,25;2.052,50;76.506,50
23.11.2015 16:00;23.11.2015 17:00;83.653,00;5.933,50;1.549,00;4.122,25;262,25;77.719,50
23.11.2015 17:00;23.11.2015 18:00;87.249,00;6.471,50;1.630,75;4.832,50;8,25;80.777,50
23.11.2015 18:00;23.11.2015 19:00;86.840,00;7.193,50;1.714,00;5.471,50;8,00;79.646,50
23.11.2015 19:00;23.11.2015 20:00;85.125,00;7.930,50;1.851,75;6.078,75;0,00;77.194,50
23.11.2015 20:00;23.11.2015 21:00;79.677,00;8.660,75;2.014,50;6.646,25;0,00;71.016,25
23.11.2015 21:00;23.11.2015 22:00;76.560,00;9.320,75;2.147,75;7.173,00;0,00;67.239,25
23.11.2015 22:00;23.11.2015 23:00;73.210,00;10.011,50;2.257,75;7.753,75;0,00;63.198,50
23.11.2015 23:00;24.11.2015 00:00;69.533,00;10.632,50;2.339,25;8.293,25;0,00;58.900,50
24.11.2015 00:00;24.11.2015 01:00;68.371,00;12.250,00;2.585,00;9.665,00;0,00;56.121,00
24.11.2015 01:00;24.11.2015 02:00;66.126,00;14.117,25;2.620,50;11.496,75;0,00;52.008,75
24.11.2015 02:00;24.11.2015 03:00;65.227,00;14.750,00;2.624,50;12.125,50;0,00;50.477,00
24.11.2015 03:00;24.11.2015 04:00;65.333,00;15.321,25;2.629,50;12.691,75;0,00;50.011,75
24.11.2015 04:00;24.11.2015 05:00;66.797,00;15.844,00;2.577,50;13.266,50;0,00;50.953,00
24.11.2015 05:00;24.11.2015 06:00;70.415,00;16.415,50;2.554,00;13.861,50;0,00;53.999,50
24.11.2015 06:00;24.11.2015 07:00;78.530,00;17.096,00;2.560,25;14.535,75;0,00;61.434,00
24.11.2015 07:00;24.11.2015 08:00;85.348,00;17.858,00;2.557,75;15.241,50;58,75;67.490,00
24.11.2015 08:00;24.11.2015 09:00;88.989,00;19.606,25;2.555,50;15.893,50;1.157,25;69.382,75
24.11.2015 09:00;24.11.2015 10:00;92.119,00;23.024,25;2.560,00;16.466,25;3.998,00;69.094,75
24.11.2015 10:00;24.11.2015 11:00;93.936,00;26.360,50;2.594,00;16.910,25;6.856,25;67.575,50
24.11.2015 11:00;24.11.2015 12:00;95.060,00;28.242,75;2.598,50;17.147,00;8.497,25;66.817,25
24.11.2015 12:00;24.11.2015 13:00;95.560,00;28.567,25;2.630,25;17.312,25;8.624,75;66.992,75
24.11.2015 13:00;24.11.2015 14:00;94.207,00;27.529,50;2.620,00;17.698,75;7.210,75;66.677,50
24.11.2015 14:00;24.11.2015 15:00;91.156,00;25.520,00;2.572,25;18.384,00;4.563,75;65.636,00
24.11.2015 15:00;24.11.2015 16:00;90.056,00;23.319,50;2.488,00;19.233,25;1.598,25;66.736,50
24.11.2015 16:00;24.11.2015 17:00;90.442,00;22.585,75;2.399,75;20.024,75;161,25;67.856,25
24.11.2015 17:00;24.11.2015 18:00;93.790,00;22.786,50;2.336,25;20.442,25;8,00;71.003,50
24.11.2015 18:00;24.11.2015 19:00;92.975,00;22.767,00;2.218,50;20.540,50;8,00;70.208,00
24.11.2015 19:00;24.11.2015 20:00;92.102,00;22.248,50;2.055,25;20.193,25;0,00;69.853,50
24.11.2015 20:00;24.11.2015 21:00;88.154,00;21.055,50;1.895,75;19.159,75;0,00;67.098,50
24.11.2015 21:00;24.11.2015 22:00;84.207,00;19.753,75;1.753,50;18.000,25;0,00;64.453,25
24.11.2015 22:00;24.11.2015 23:00;79.606,00;18.396,50;1.618,75;16.777,75;0,00;61.209,50
24.11.2015 23:00;25.11.2015 00:00;73.587,00;17.142,75;1.524,00;15.618,75;0,00;56.444,25
25.11.2015 00:00;25.11.2015 01:00;71.981,00;15.693,75;1.390,00;14.303,75;0,00;56.287,25
25.11.2015 01:00;25.11.2015 02:00;69.713,00;14.520,25;1.209,75;13.310,50;0,00;55.192,75
25.11.2015 02:00;25.11.2015 03:00;67.652,00;13.487,00;1.037,25;12.449,75;0,00;54.165,00
25.11.2015 03:00;25.11.2015 04:00;66.847,00;12.499,50;890,25;11.609,25;0,00;54.347,50
25.11.2015 04:00;25.11.2015 05:00;67.661,00;11.627,00;688,50;10.938,50;0,00;56.034,00
25.11.2015 05:00;25.11.2015 06:00;69.355,00;10.988,75;659,75;10.329,00;0,00;58.366,25
25.11.2015 06:00;25.11.2015 07:00;77.402,00;10.389,50;657,00;9.732,50;0,00;67.012,50
25.11.2015 07:00;25.11.2015 08:00;85.202,00;9.918,25;681,00;9.217,00;20,25;75.283,75
25.11.2015 08:00;25.11.2015 09:00;87.326,00;9.818,00;741,00;8.785,75;291,25;77.508,00
25.11.2015 09:00;25.11.2015 10:00;88.318,00;10.255,50;801,00;8.413,00;1.041,50;78.062,50
25.11.2015 10:00;25.11.2015 11:00;88.560,00;10.770,75;822,00;7.904,75;2.044,00;77.789,25
25.11.2015 11:00;25.11.2015 12:00;88.156,00;10.957,75;851,25;7.352,00;2.754,50;77.198,25
25.11.2015 12:00;25.11.2015 13:00;87.851,00;10.446,00;807,00;6.705,25;2.933,75;77.405,00
25.11.2015 13:00;25.11.2015 14:00;86.943,00;9.653,75;879,50;6.223,75;2.550,50;77.289,25
25.11.2015 14:00;25.11.2015 15:00;85.121,00;8.810,00;1.008,50;6.127,00;1.674,50;76.311,00
25.11.2015 15:00;25.11.2015 16:00;84.080,00;7.840,75;1.050,50;6.153,75;636,50;76.239,25
25.11.2015 16:00;25.11.2015 17:00;85.670,00;7.574,75;1.209,00;6.280,50;85,25;78.095,25
25.11.2015 17:00;25.11.2015 18:00;88.758,00;7.757,75;1.336,75;6.413,00;8,00;81.000,25
25.11.2015 18:00;25.11.2015 19:00;86.946,00;8.180,00;1.490,00;6.682,00;8,00;78.766,00
25.11.2015 19:00;25.11.2015 20:00;85.402,00;8.537,00;1.681,50;6.855,50;0,00;76.865,00
25.11.2015 20:00;25.11.2015 21:00;81.802,00;8.713,75;1.821,25;6.892,50;0,00;73.088,25
25.11.2015 21:00;25.11.2015 22:00;77.507,00;8.768,50;1.932,00;6.836,50;0,00;68.738,50
25.11.2015 22:00;25.11.2015 23:00;74.270,00;8.804,00;2.029,25;6.774,75;0,00;65.466,00
25.11.2015 23:00;26.11.2015 00:00;69.804,00;8.753,00;2.057,25;6.695,75;0,00;61.051,00
26.11.2015 00:00;26.11.2015 01:00;66.825,00;8.252,50;2.026,75;6.225,75;0,00;58.572,50
26.11.2015 01:00;26.11.2015 02:00;64.742,00;7.776,00;1.967,50;5.808,50;0,00;56.966,00
26.11.2015 02:00;26.11.2015 03:00;64.181,00;7.640,00;1.921,75;5.718,25;0,00;56.541,00
26.11.2015 03:00;26.11.2015 04:00;63.603,00;7.518,50;1.842,00;5.676,50;0,00;56.084,50
26.11.2015 04:00;26.11.2015 05:00;64.583,00;7.349,00;1.728,25;5.620,75;0,00;57.234,00
26.11.2015 05:00;26.11.2015 06:00;68.624,00;7.194,50;1.688,25;5.506,25;0,00;61.429,50
26.11.2015 06:00;26.11.2015 07:00;75.047,00;6.879,25;1.615,75;5.263,50;0,00;68.167,75
26.11.2015 07:00;26.11.2015 08:00;81.950,00;6.498,25;1.495,50;4.983,25;19,50;75.451,75
26.11.2015 08:00;26.11.2015 09:00;85.555,00;6.349,25;1.319,75;4.716,25;313,25;79.205,75
26.11.2015 09:00;26.11.2015 10:00;86.772,00;7.117,50;1.119,00;4.498,75;1.499,75;79.654,50
26.11.2015 10:00;26.11.2015 11:00;87.537,00;8.298,75;922,25;4.245,00;3.131,50;79.238,25
26.11.2015 11:00;26.11.2015 12:00;88.247,00;9.150,50;729,25;3.977,75;4.443,50;79.096,50
26.11.2015 12:00;26.11.2015 13:00;87.935,00;9.029,50;600,25;3.686,25;4.743,00;78.905,50
26.11.2015 13:00;26.11.2015 14:00;86.705,00;8.069,00;498,00;3.477,75;4.093,25;78.636,00
26.11.2015 14:00;26.11.2015 15:00;84.212,00;6.558,25;427,50;3.417,50;2.713,25;77.653,75
26.11.2015 15:00;26.11.2015 16:00;82.737,00;4.703,75;278,00;3.370,75;1.055,00;78.033,25
26.11.2015 16:00;26.11.2015 17:00;82.771,00;3.756,50;261,00;3.424,75;70,75;79.014,50
26.11.2015 17:00;26.11.2015 18:00;86.206,00;3.962,75;295,50;3.659,25;8,00;82.243,25
26.11.2015 18:00;26.11.2015 19:00;86.245,00;4.301,00;360,50;3.932,50;8,00;81.944,00
26.11.2015 19:00;26.11.2015 20:00;83.754,00;4.733,75;486,25;4.247,50;0,00;79.020,25
26.11.2015 20:00;26.11.2015 21:00;80.242,00;5.323,00;695,00;4.628,00;0,00;74.919,00
26.11.2015 21:00;26.11.2015 22:00;76.377,00;6.032,50;925,25;5.107,25;0,00;70.344,50
26.11.2015 22:00;26.11.2015 23:00;76.279,00;6.839,75;1.142,25;5.697,50;0,00;69.439,25
26.11.2015 23:00;27.11.2015 00:00;72.056,00;7.734,00;1.398,75;6.335,25;0,00;64.322,00
27.11.2015 00:00;27.11.2015 01:00;67.836,00;8.240,25;1.652,75;6.587,50;0,00;59.595,75
27.11.2015 01:00;27.11.2015 02:00;65.801,00;9.145,75;1.887,00;7.258,75;0,00;56.655,25
27.11.2015 02:00;27.11.2015 03:00;64.324,00;9.686,50;2.059,50;7.627,00;0,00;54.637,50
27.11.2015 03:00;27.11.2015 04:00;64.527,00;10.125,75;2.197,75;7.928,00;0,00;54.401,25
27.11.2015 04:00;27.11.2015 05:00;65.324,00;10.462,00;2.313,50;8.148,50;0,00;54.862,00
27.11.2015 05:00;27.11.2015 06:00;69.152,00;10.701,75;2.346,75;8.355,00;0,00;58.450,25
27.11.2015 06:00;27.11.2015 07:00;75.757,00;11.064,00;2.372,25;8.691,75;0,00;64.693,00
27.11.2015 07:00;27.11.2015 08:00;81.895,00;11.480,25;2.404,00;9.051,00;25,25;70.414,75
27.11.2015 08:00;27.11.2015 09:00;85.880,00;12.428,00;2.446,25;9.381,00;600,75;73.452,00
27.11.2015 09:00;27.11.2015 10:00;87.856,00;14.187,25;2.294,75;9.562,25;2.330,25;73.668,75
27.11.2015 10:00;27.11.2015 11:00;90.152,00;16.369,00;2.326,50;9.618,00;4.424,50;73.783,00
27.11.2015 11:00;27.11.2015 12:00;92.956,00;18.075,00;2.347,75;9.650,00;6.077,25;74.881,00
27.11.2015 12:00;27.11.2015 13:00;90.420,00;18.568,50;2.386,25;9.662,50;6.519,75;71.851,50
27.11.2015 13:00;27.11.2015 14:00;88.501,00;17.962,00;2.401,25;9.815,50;5.745,25;70.539,00
27.11.2015 14:00;27.11.2015 15:00;85.465,00;16.371,25;2.405,50;10.089,25;3.876,50;69.093,75
27.11.2015 15:00;27.11.2015 16:00;82.707,00;14.679,25;2.502,75;10.710,00;1.466,50;68.027,75
